P18754_1208_S166_final-annot.vcf	MN177B
P18754_1215_S173_final-annot.vcf	MN178B
P18754_1153_S111_final-annot.vcf	MN144B
P18754_1111_S69_final-annot.vcf	MN142B
P18754_1175_S133_final-annot.vcf	MN145B
P18754_1201_S159_final-annot.vcf	MN146B
P18754_1155_S113_final-annot.vcf	MN143B
P18754_1178_S136_final-annot.vcf	MN184B
P18754_1124_S82_final-annot.vcf	MN185B
P18754_1123_S81_final-annot.vcf	MN72B
P18754_1220_S178_final-annot.vcf	MN73B
P18754_1088_S46_final-annot.vcf	MN75B
P18754_1166_S124_final-annot.vcf	MN76B
P18754_1144_S102_final-annot.vcf	MN80B
P18754_1165_S123_final-annot.vcf	MN81B
P18754_1065_S23_final-annot.vcf	MN83B
P18754_1080_S38_final-annot.vcf	MN60B
P18754_1134_S92_final-annot.vcf	MN61B
P18754_1218_S176_final-annot.vcf	MN71B
P18754_1131_S89_final-annot.vcf	MN63B
P18754_1171_S129_final-annot.vcf	MN64B
P18754_1133_S91_final-annot.vcf	MN65B
P18754_1180_S138_final-annot.vcf	MN67B
P18754_1064_S22_final-annot.vcf	MN68B
P18754_1081_S39_final-annot.vcf	MN84B
P18754_1105_S63_final-annot.vcf	MN85B
P18754_1156_S114_final-annot.vcf	MN87B
P18754_1068_S26_final-annot.vcf	MN88B
P18754_1200_S158_final-annot.vcf	MN89B
P18754_1160_S118_final-annot.vcf	MN209B
P18754_1167_S125_final-annot.vcf	MN91B
P18754_1135_S93_final-annot.vcf	MN92B
P18754_1194_S152_final-annot.vcf	MN93B
P18754_1072_S30_final-annot.vcf	MN94B
P18754_1094_S52_final-annot.vcf	MN95B
P18754_1205_S163_final-annot.vcf	MN97B
P18754_1084_S42_final-annot.vcf	MN100B
P18754_1067_S25_final-annot.vcf	MN101B
P18754_1103_S61_final-annot.vcf	MN102B
P18754_1076_S34_final-annot.vcf	MN77B
P18754_1070_S28_final-annot.vcf	MN104B
P18754_1176_S134_final-annot.vcf	MN105B
P18754_1114_S72_final-annot.vcf	MN106B
P18754_1087_S45_final-annot.vcf	MN107B
P18754_1192_S150_final-annot.vcf	MN108B
P18754_1063_S21_final-annot.vcf	MN109B
P18754_1174_S132_final-annot.vcf	MN111B
P18754_1121_S79_final-annot.vcf	MN114B
P18754_1148_S106_final-annot.vcf	MN116B
P18754_1181_S139_final-annot.vcf	MN118B
P18754_1216_S174_final-annot.vcf	MN119B
P18754_1122_S80_final-annot.vcf	MN120B
P18754_1161_S119_final-annot.vcf	MN121B
P18754_1136_S94_final-annot.vcf	MN122B
P18754_1095_S53_final-annot.vcf	MN123B
P18754_1182_S140_final-annot.vcf	MN124B
P18754_1139_S97_final-annot.vcf	MN125B
P18754_1097_S55_final-annot.vcf	MN127B
P18754_1198_S156_final-annot.vcf	MN128B
P18754_1197_S155_final-annot.vcf	MN129B
P18754_1120_S78_final-annot.vcf	MN130B
P18754_1213_S171_final-annot.vcf	MN131B
P18754_1075_S33_final-annot.vcf	MN132B
P18754_1110_S68_final-annot.vcf	MN133B
P18754_1100_S58_final-annot.vcf	MN134B
P18754_1130_S88_final-annot.vcf	MN135B
P18754_1145_S103_final-annot.vcf	MN136B
P18754_1193_S151_final-annot.vcf	MN137B
P18754_1149_S107_final-annot.vcf	MN138B
P18754_1185_S143_final-annot.vcf	MN139B
P18754_1071_S29_final-annot.vcf	MN140B
P18754_1219_S177_final-annot.vcf	MN141B
P18754_1085_S43_final-annot.vcf	MN150B
P18754_1147_S105_final-annot.vcf	MN151B
P18754_1069_S27_final-annot.vcf	MN155B
P18754_1203_S161_final-annot.vcf	MN156B
P18754_1188_S146_final-annot.vcf	MN157B
P18754_1115_S73_final-annot.vcf	MN159B
P18754_1090_S48_final-annot.vcf	MN160B
P18754_1184_S142_final-annot.vcf	MN161B
P18754_1125_S83_final-annot.vcf	MN66B
P18754_1098_S56_final-annot.vcf	MN69B
P18754_1170_S128_final-annot.vcf	MN179B
P18754_1199_S157_final-annot.vcf	MN180B
P18754_1129_S87_final-annot.vcf	MN181B
P18754_1107_S65_final-annot.vcf	MN182B
P18754_1151_S109_final-annot.vcf	MN183B
P18754_1209_S167_final-annot.vcf	MN147B
P18754_1186_S144_final-annot.vcf	MN148B
P18754_1143_S101_final-annot.vcf	MN186B
P18754_1116_S74_final-annot.vcf	MN187B
P18754_1179_S137_final-annot.vcf	MN189B
P18754_1102_S60_final-annot.vcf	MN190B
P18754_1206_S164_final-annot.vcf	MN191B
P18754_1202_S160_final-annot.vcf	MN192B
P18754_1183_S141_final-annot.vcf	MN193B
P18754_1079_S37_final-annot.vcf	MN194B
P18754_1096_S54_final-annot.vcf	MN195B
P18754_1092_S50_final-annot.vcf	MN196B
P18754_1157_S115_final-annot.vcf	MN197B
P18754_1140_S98_final-annot.vcf	MN198B
P18754_1128_S86_final-annot.vcf	MN199B
P18754_1104_S62_final-annot.vcf	MN200B
P18754_1207_S165_final-annot.vcf	MN201B
P18754_1099_S57_final-annot.vcf	MN202B
P18754_1158_S116_final-annot.vcf	MN203B
P18754_1112_S70_final-annot.vcf	MN204B
P18754_1126_S84_final-annot.vcf	MN207B
P18754_1212_S170_final-annot.vcf	MN208B
P18754_1177_S135_final-annot.vcf	MN110B
P18754_1204_S162_final-annot.vcf	MN210B
P18754_1083_S41_final-annot.vcf	MN211B
P18754_1119_S77_final-annot.vcf	MN212B
P18754_1137_S95_final-annot.vcf	MN213B
P18754_1113_S71_final-annot.vcf	MN214B
P18754_1077_S35_final-annot.vcf	MN215B
P18754_1217_S175_final-annot.vcf	MN216B
P18754_1159_S117_final-annot.vcf	MN217B
P18754_1163_S121_final-annot.vcf	MN218B
P18754_1196_S154_final-annot.vcf	MN219B
P18754_1108_S66_final-annot.vcf	MN221B
P18754_1066_S24_final-annot.vcf	MN222B
P18754_1150_S108_final-annot.vcf	MN223B
P18754_1191_S149_final-annot.vcf	MN224B
P18754_1106_S64_final-annot.vcf	MN225B
P18754_1141_S99_final-annot.vcf	MN226B
P18754_1173_S131_final-annot.vcf	MN227B
P18754_1214_S172_final-annot.vcf	MN228B
P18754_1146_S104_final-annot.vcf	MN229B
P18754_1211_S169_final-annot.vcf	MN230B
P18754_1086_S44_final-annot.vcf	MN232B
P18754_1195_S153_final-annot.vcf	MN233B
P18754_1089_S47_final-annot.vcf	MN234B
P18754_1101_S59_final-annot.vcf	MN235B
P18754_1078_S36_final-annot.vcf	MN236B
P18754_1187_S145_final-annot.vcf	MN79B
P18754_1152_S110_final-annot.vcf	MN82B
P18754_1127_S85_final-annot.vcf	MN90B
P18754_1190_S148_final-annot.vcf	MN98B
P18754_1154_S112_final-annot.vcf	MN99B
P18754_1132_S90_final-annot.vcf	MN126B
P18754_1162_S120_final-annot.vcf	MN149B
P18754_1074_S32_final-annot.vcf	MN205B
P18754_1142_S100_final-annot.vcf	MN206B
P18754_1189_S147_final-annot.vcf	MN237B
P18754_1082_S40_final-annot.vcf	MN162B
P18754_1093_S51_final-annot.vcf	MN163B
P18754_1172_S130_final-annot.vcf	MN164B
P18754_1210_S168_final-annot.vcf	MN165B
P18754_1221_S179_final-annot.vcf	MN166B
P18754_1169_S127_final-annot.vcf	MN167B
P18754_1109_S67_final-annot.vcf	MN169B
P18754_1138_S96_final-annot.vcf	MN170B
P18754_1164_S122_final-annot.vcf	MN171B
P18754_1117_S75_final-annot.vcf	MN172B
P18754_1118_S76_final-annot.vcf	MN173B
P18754_1073_S31_final-annot.vcf	MN174B
P18754_1168_S126_final-annot.vcf	MN175B
P18754_1091_S49_final-annot.vcf	MN176B
