cytoband	8p23.3	12q24.33	2q37.3	17p13.2	1p35.3	6q27	11q25	9p21.1	2p25.3	10q26.3	11p15.4	15q12	19p13.3	3p14.3	1p34.3	18q23	
q value	2.7568e-12	1.4027e-05	0.0044603	0.031325	0.031038	0.05325	0.097341	0.1442	0.18366	0.18366	0.18366	0.18366	0.18366	0.19473	0.18366	0.23689	
residual q value	2.7568e-12	1.4027e-05	0.0044603	0.031325	0.034238	0.05325	0.097341	0.1442	0.18366	0.18366	0.18366	0.18366	0.18366	0.19419	0.22292	0.23436	
wide peak boundaries	chr8:1-1719999	chr12:131620001-132199999	chr2:242820001-243199373	chr17:5070001-7079999	chr1:29540001-31189999	chr6:167450001-168189999	chr11:134120001-135006516	chr9:19780001-32389999	chr2:1-7569999	chr10:106090001-135534747	chr11:1-8709999	chr15:1-40329999	chr19:1-519999	chr3:20220001-106829999	chr1:33950001-35229999	chr18:40270001-78077248	
genes in wide peak	DLGAP2	LOC116437	LOC728323	hsa-mir-497	PTPRU	CCR6	ACAD8	hsa-mir-873	ACP1	hsa-mir-202	hsa-mir-302e	hsa-mir-1233-2	hsa-mir-1302-11	hsa-mir-4273	hsa-mir-552	hsa-mir-122	
	FBXO25			ALOX12		GPR31	B3GAT1	hsa-mir-31	RPS7	hsa-mir-378c	hsa-mir-483	hsa-mir-1233-1	MADCAM1	hsa-mir-1324	GJB5	hsa-mir-4320	
	C8orf42			ALOX12P2		TCP10	GLB1L2	hsa-mir-491	SOX11	hsa-mir-4297	hsa-mir-675	hsa-mir-211	PPAP2C	hsa-mir-1284	C1orf94	hsa-mir-1539	
	ERICH1			ASGR2		UNC93A	GLB1L3	CDKN2A	TPO	hsa-mir-4296	hsa-mir-4298	hsa-mir-1268	SHC2	hsa-mir-3136	CSMD2	hsa-mir-4319	
	ZNF596			C1QBP		TTLL2	LOC283177	CDKN2B	TSSC1	hsa-mir-2110	hsa-mir-210	hsa-mir-3118-6	THEG	hsa-mir-4272	GJB4	ATP5A1	
	LOC286083			NUP88		TCP10L2		ELAVL2	PXDN	hsa-mir-4295	AP2A2	hsa-mir-3118-4	MIER2	hsa-mir-135a-1	HMGB4	BCL2	
	OR4F21			RABEP1				IFNA1	RNF144A	hsa-mir-548e	APBB1	ACTC1	OR4F17	hsa-mir-566	LOC402779	CDH7	
	RPL23AP53			KIAA0753				IFNA2	MYT1L	ACADSB	RHOG	APBA2	TPGS1	hsa-mir-4271		CYB5A	
				CLEC10A				IFNA4	SH3YL1	ADAM8	ART1	NBEAP1	C2CD4C	hsa-mir-191		DCC	
				NLRP1				IFNA5	TRAPPC12	ADD3	ASCL2	CHRM5	ODF3L2	hsa-mir-711		FECH	
				WSCD1				IFNA6	SNTG2	ADRA2A	CARS	CHRNA7	WASH5P	hsa-mir-2115		KDSR	
				AIPL1				IFNA7	ADI1	ADRB1	CCKBR	GABRA5	FLJ45445	hsa-mir-1226		GALR1	
