cytoband	9p21.3	4q35.2	8p11.22	8p23.2	2q22.1	15q26.1	1p13.2	18q23	9p23	3p12.1	5q13.3	7q11.22	15q11.2	
q value	9.1611e-06	0.0012737	0.010111	0.029323	0.097746	0.14959	0.15657	0.15541	0.012886	0.21494	0.21494	0.24563	0.24958	
residual q value	7.7437e-05	0.0012737	0.012276	0.04931	0.097746	0.1443	0.15657	0.15657	0.1923	0.21488	0.21494	0.24563	0.25137	
wide peak boundaries	chr9:21330001-23699999	chr4:169930001-190399999	chr8:39140001-39429999	chr8:1-32409999	chr2:139650001-143639999	chr15:91840001-96899999	chr1:8000001-145419999	chr18:33840001-78077248	chr9:7790001-20349999	chr3:42560001-93599999	chr5:45690001-180915260	chr7:66300001-72849999	chr15:1-29999999	
genes in wide peak	hsa-mir-31	hsa-mir-1305	ADAM3A	hsa-mir-3148	LRP1B	hsa-mir-1469	hsa-mir-3118-3	hsa-mir-122	hsa-mir-3152	hsa-mir-4273	hsa-mir-340	GTF2IP1	hsa-mir-1268	
	CDKN2A	hsa-mir-4276	ADAM5P	hsa-mir-4288	LOC647012	hsa-mir-3175	hsa-mir-3118-2	hsa-mir-4320	PLIN2	hsa-mir-1324	hsa-mir-1229	PMS2L2	hsa-mir-3118-6	
	CDKN2B	hsa-mir-548t		hsa-mir-4287		CHD2	hsa-mir-3118-1	hsa-mir-1539	NFIB	hsa-mir-1284	hsa-mir-4281	PMS2P4	hsa-mir-3118-4	
	IFNA1	AGA		hsa-mir-548h-4		NR2F2	hsa-mir-942	hsa-mir-4319	PTPRD	hsa-mir-3136	hsa-mir-1271	FKBP6	APBA2	
	IFNA2	SLC25A4		hsa-mir-320a		ST8SIA2	hsa-mir-320b-1	hsa-mir-924	RPS6	hsa-mir-4272	hsa-mir-585	POM121	NBEAP1	
	IFNA6	CASP3		hsa-mir-548v		SLCO3A1	hsa-mir-4256	hsa-mir-4318	SH3GL2	hsa-mir-135a-1	hsa-mir-218-2	AUTS2	GABRA5	
	IFNA8	CLCN3		hsa-mir-383		MCTP2	hsa-mir-197	ATP5A1	SNAPC3	hsa-mir-566	hsa-mir-103-1-as	SBDS	GABRB3	
	IFNA13	DCTD		hsa-mir-598		RGMA	hsa-mir-553	BCL2	TYRP1	hsa-mir-4271	hsa-mir-146a	C7orf42	GABRG3	
	MTAP	F11		hsa-mir-1322		LOC145820	hsa-mir-137	CDH7	MPDZ	hsa-mir-191	hsa-mir-3142	TYW1	IPW	
	C9orf53	ACSL1		hsa-mir-4286		C15orf32	hsa-mir-760	CYB5A	CER1	hsa-mir-711	hsa-mir-1303	NSUN5	NDN	
	KLHL9	FAT1		hsa-mir-124-1		FAM174B	hsa-mir-186	DCC	RRAGA	hsa-mir-2115	hsa-mir-3141	WBSCR17	OCA2	
	DMRTA1	GPM6A		hsa-mir-597		LOC400456	hsa-mir-1262	FECH	PSIP1	hsa-mir-1226	hsa-mir-1294	STAG3L4	SNRPN	
	IFNE	HMGB2		hsa-mir-548i-3		ASB9P1	hsa-mir-3117	KDSR	SLC24A2	hsa-mir-564	hsa-mir-378	CALN1	UBE3A	
	MIR31	HPGD		hsa-mir-596		LOC100144604	hsa-mir-101-1	GALR1	BNC2	hsa-mir-138-1	hsa-mir-145	TRIM50	MKRN3	
	FLJ35282	HSP90AA4P		NAT1		MIR1469	hsa-mir-3116-2	GRP	HAUS6	ACY1	hsa-mir-584	SBDSP1	PAR5	
	MIR31HG	ING2		NAT2		MIR3175	hsa-mir-761	LMAN1	CNTLN	ALAS1	hsa-mir-874	NSUN5P2	HERC2	
	CDKN2B-AS1	IRF2		ADRA1A		LOC100507217	hsa-mir-30c-1	SMAD2	DENND4C	AMT	hsa-mir-886	SPDYE8P	SNURF	
		KLKB1		ANGPT2			hsa-mir-4255	SMAD4	C9orf123	APEH	hsa-mir-1289-2	GTF2IRD2P1	CYFIP1	
		MTNR1A		ASAH1			hsa-mir-552	SMAD7	ADAMTSL1	ARF4	hsa-mir-1244-2	TYW1B	FAM189A1	
		NEK1		ATP6V1B2			hsa-mir-4254	MBD1	TTC39B	RHOA	hsa-mir-548f-3	SPDYE7P	C15orf2	
		TLR3		BLK			hsa-mir-1976	MBP	FAM154A	C3orf51	hsa-mir-548p	STAG3L3	MAGEL2	
		VEGFC		BMP1			hsa-mir-3115	MC4R	FREM1	CACNA1D	hsa-mir-583	LOC541473	NDNL2	
		GLRA3		POLR3D			hsa-mir-4253	ME2	C9orf93	SLC25A20	hsa-mir-2277	NCF1B	ATP10A	
		SORBS2		BNIP3L			hsa-mir-1256	MYO5B	LURAP1L	CAMP	hsa-mir-9-2	LOC100093631	NIPA2	
		SAP30		CHRNA2			hsa-mir-1290	NARS	ZDHHC21	CDC25A	hsa-mir-4280	MIR3914-1	SNORD107	
		HAND2		CLU			hsa-mir-1273d	NFATC1	ACER2	CISH	hsa-mir-582	MIR3914-2	TUBGCP5	
		MFAP3L		CTSB			hsa-mir-34a	SERPINB2	LOC389705	CCR1	hsa-mir-449c	MIR4650-1	NIPA1	
		ADAM29		DEFA1			ABCA4	ATP8B1	FLJ41200	CCR3	hsa-mir-581	MIR4650-2	PAR1	
		SCRG1		DEFA3			ACADM	SERPINB5	SCARNA8	CCR5	ADRA1B		LOC283683	
		FAM149A		DEFA4			ADORA3	SERPINB8	C9orf146	CCBP2	ADRB2		OR4N4	
		FBXO8		DEFA5			AGL	SERPINB10	MIR3152	COL7A1	ANXA6		HERC2P3	
		PDLIM3		DEFA6			AK2	SERPINB13		CYP8B1	APC		GOLGA6L1	
		AADAT		DEFB1			AK4	PIK3C3		DAG1	TRIM23		GOLGA8G	
		GALNT7		DEFB4A			ALPL	PMAIP1		DNASE1L3	ARSB		GOLGA8IP	
		CLDN22		DPYSL2			ALX3	MAPK4		DOCK3	ATOX1		SNORD108	
		C4orf27		DUSP4			AMPD1	RAB27B		DUSP7	ALDH7A1		SNORD109A	
		NEIL3		EGR3			AMPD2	RIT2		CELSR3	BHMT		SNORD109B	
		UFSP2		EPB49			AMY1A	RPL17		EPHA3	BNIP1		SNORD115-1	
		CDKN2AIP		EPHX2			AMY1B	SERPINB3		FHIT	BTF3		WHAMMP3	
		ODZ3		CLN8			AMY1C	SERPINB4		FLNB	CAMK4		POTEB	
		LRP2BP		EXTL3			AMY2A	SLC14A1		GBE1	CAMK2A		SNORD64	
		STOX2		PTK2B			AMY2B	SYT4		GNAI2	CAMLG		PAR4	
		KIAA1430		FDFT1			RHOC	TCF4		GNAT1	CANX		PAR-SN	
		SH3RF1		FGL1			RERE	ZNF236		XCR1	CAST		LOC348120	
		SPCS3		GATA4			ATP1A1	SLC14A2		GPR27	CCNB1		GOLGA8E	
		TRAPPC11		GFRA2			ATP5F1	SERPINB7		GPX1	CCNG1		OR4M2	
		MLF1IP		GNRH1			ATP6V0B	TNFRSF11A		GRM2	CCNH		OR4N3P	
		NBLA00301		GSR			BAI2	MBD2		HTR1F	CD14		HERC2P2	
		WWC2		GTF2E2			BMP8B	PSTPIP2		HYAL1	CD74		NF1P2	
		CEP44		LOXL2			BRDT	PIAS2		IMPDH2	CDC25C		HERC2P9	
		SNX25		LPL			C1QA	CTDP1		ITIH1	CDK7		WHAMMP2	
		MGC45800		MSR1			C1QB	SOCS6		ITIH3	CDO1		LOC503519	
		WDR17		MSRA			C1QC	TXNL1		ITIH4	CDX1		CHEK2P2	
		ZFP42		NEFM			C8A	LIPG		LAMB2	CETN3		LOC646214	
		SPATA4		NEFL			C8B	ONECUT2		LTF	CHD1		CXADRP2	
		ENPP6		NKX3-1			CA6	VPS4B		MAP4	CKMT2		LOC646278	
		ASB5		PCM1			CAPZA1	ZNF516		MITF	ERCC8		REREP3	
		C4orf38		PDGFRL			CAPZB	CTIF		MST1	AP3S1		LOC653061	
		RWDD4		PNOC			CASP9	TSHZ1		MST1R	CLTB		SNORD116-19	
		CCDC111		PPP2CB			CASQ2	ACAA2		MYL3	COX7C		GOLGA6L6	
		TRIML2		PPP2R2A			RUNX3	CD226		NKTR	CRHBP		LOC727924	
		CCDC110		PPP3CC			CD2	MALT1		CNTN3	HAPLN1		GOLGA8C	
		CYP4V2		SFTPC			TNFRSF8	TXNL4A		PDHB	CSF1R		PWRN1	
		LOC285441		SLC7A2			CD53	POLI		PFKFB4	CSF2		PWRN2	
		LOC285501		SLC18A1			CD58	ADNP2		PLXNB1	CSNK1A1		SNORD116-1	
		LOC339975		STC1			CDA	PHLPP1		POU1F1	CSNK1G3		SNORD116-2	
		TRIML1		WRN			CDC20	NEDD4L		PRKAR2A	VCAN		SNORD116-3	
		ANKRD37		FZD3			CDC42	WDR7		PRKCD	NKX2-5		SNORD116-4	
		LOC389247		TUSC3			CDKN2C	PIGN		PTH1R	CTNNA1		SNORD116-5	
