cytoband	8p22	9p21.3	18q21.2	8p11.22	22q13.33	16p13.3	4q34.3	1p36.31	20p12.3	21q21.1	10q25.1	17p13.3	15q12	3p26.1	6q26	16q24.1	19q11	17p12	11q22.1	11p11.2	2q22.1	
q value	2.362e-09	8.2536e-05	0.0001597	8.5469e-07	0.0026044	0.0076927	0.015229	0.0191	0.029887	0.029094	0.036792	0.00015536	0.067145	0.072751	0.086362	0.088854	0.1244	0.00019946	0.18725	0.22671	0.25631	
residual q value	4.3669e-09	8.2536e-05	0.00015536	0.0007397	0.0026044	0.0072537	0.015229	0.0191	0.02897	0.02897	0.036414	0.06506	0.06555	0.074917	0.086362	0.088854	0.13337	0.14233	0.19289	0.22671	0.24712	
wide peak boundaries	chr8:1-35099999	chr9:21550001-22449999	chr18:25750001-78077248	chr8:39140001-39429999	chr22:50690001-51304566	chr16:5100001-8619999	chr4:168150001-191154276	chr1:1-19929999	chr20:1-21289999	chr21:17980001-26219999	chr10:81200001-135534747	chr17:1-15879999	chr15:1-45659999	chr3:1-124309999	chr6:1-171115067	chr16:66610001-90354753	chr19:21950001-29459999	chr17:1-18859999	chr11:87030001-135006516	chr11:35430001-46359999	chr2:1-243199373	
genes in wide peak	hsa-mir-3148	CDKN2A	hsa-mir-122	ADAM3A	ACR	RBFOX1	hsa-mir-1305	hsa-mir-1290	hsa-mir-3192	hsa-mir-548x	hsa-mir-202	hsa-mir-548h-3	hsa-mir-1282	hsa-mir-198	hsa-mir-1913	hsa-mir-1910	ZNF43	hsa-mir-33b	hsa-mir-3167	hsa-mir-129-2	hsa-mir-3133	
	hsa-mir-4288	CDKN2B	hsa-mir-4320	ADAM5P	ARSA	ALG1	hsa-mir-4276	hsa-mir-1273d	hsa-mir-103-2-as	CXADR	hsa-mir-378c	hsa-mir-744	hsa-mir-627	hsa-mir-568	hsa-mir-1202	hsa-mir-3182	ZNF91	hsa-mir-1288	hsa-mir-100	CRY2	hsa-mir-149	
	hsa-mir-4287	MTAP	hsa-mir-1539		CHKB	FAM86A	hsa-mir-548t	hsa-mir-34a	hsa-mir-1292	NCAM2	hsa-mir-4297	hsa-mir-4314	hsa-mir-4310	hsa-mir-567	hsa-mir-1273c	hsa-mir-1972-2	ZNF99	hsa-mir-548h-3	hsa-mir-4301	EXT2	hsa-mir-4269	
	hsa-mir-548h-4	C9orf53	hsa-mir-4319		CPT1B		AGA	hsa-mir-4252	ADRA1D	TMPRSS15	hsa-mir-4296	hsa-mir-324	hsa-mir-626	hsa-mir-4273	hsa-mir-3145	hsa-mir-140	ZNF208	hsa-mir-744	hsa-mir-34c	CD82	hsa-mir-562	
	hsa-mir-320a	CDKN2B-AS1	hsa-mir-924		TYMP		SLC25A4	hsa-mir-551a	JAG1	BTG3	hsa-mir-2110	hsa-mir-497	hsa-mir-1233-2	hsa-mir-1324	hsa-mir-548a-2	hsa-mir-1538	ZNF254	hsa-mir-4314	hsa-mir-1260b	RAG1	hsa-mir-1471	
	hsa-mir-548v		hsa-mir-4318		MAPK11		CASP3	hsa-mir-4251	AVP	CHODL-AS1	hsa-mir-4295	hsa-mir-1253	hsa-mir-1233-1	hsa-mir-1284	hsa-mir-588	hsa-mir-328	ZNF492	hsa-mir-324	hsa-mir-548l	RAG2	hsa-mir-1244-1	
	hsa-mir-383		hsa-mir-187		MAPK12		CLCN3	hsa-mir-429	BFSP1	LINC00308	hsa-mir-548e	hsa-mir-212	hsa-mir-211	hsa-mir-3136	hsa-mir-3144	AARS	ZNF257	hsa-mir-497	hsa-mir-1304	TRAF6	hsa-mir-4268	
