cytoband	3q28	3q26.33	19q13.2	11q13.3	8q24.22	17q24.3	5p14.3	9p21.1	5p13.2	18q21.2	5p15.2	13q33.1	7p21.1	1q21.2	17q11.2	7p11.2	14q31.1	14q13.3	7q31.32	
q value	1.7942e-12	5.7626e-12	0.00070653	0.0058425	0.007991	0.010547	0.00070653	0.054783	0.039421	0.059777	0.0012986	0.068146	0.072554	0.12393	0.13923	0.14366	0.14366	0.14968	0.16794	
residual q value	2.4764e-08	1.2317e-06	0.00070653	0.0058425	0.007991	0.010547	0.032517	0.054783	0.05741	0.059777	0.063469	0.068146	0.072554	0.12393	0.13923	0.14366	0.14366	0.14968	0.16794	
wide peak boundaries	chr3:188930001-189109999	chr3:181480001-181809999	chr19:37080001-40059999	chr11:69630001-70409999	chr8:104030001-146364022	chr17:57640001-76059999	chr5:19130001-19959999	chr9:31980001-33409999	chr5:36030001-40859999	chr18:52880001-53259999	chr5:14130001-14509999	chr13:102290001-103059999	chr7:17030001-17709999	chr1:120490001-240359999	chr17:26980001-27459999	chr7:54830001-55259999	chr14:80030001-80409999	chr14:1-39859999	chr7:82980001-159138663	
genes in wide peak	TPRG1	[SOX2-OT]	ACTN4	hsa-mir-548k	hsa-mir-1234	hsa-mir-4316	CDH18	ACO1	hsa-mir-580	TCF4	TRIO	FGF14	AHR	hsa-mir-1537	hsa-mir-144	EGFR	NRXN3	hsa-mir-3172	hsa-mir-595	
			ECH1	CTTN	hsa-mir-939	hsa-mir-636		AQP7	C9	MIR4529		ITGBL1		hsa-mir-1182	FLOT2			hsa-mir-624	hsa-mir-153-2	
			HNRNPL	FGF3	hsa-mir-661	hsa-mir-635		BAG1	DAB2			FGF14-IT1		hsa-mir-320b-2	RPL23A			hsa-mir-3171	hsa-mir-671	
			LGALS4	PPFIA1	hsa-mir-937	hsa-mir-548d-2		B4GALT1	FYB			LOC283481		hsa-mir-664	SDF2			hsa-mir-4307	hsa-mir-1975	
			LGALS7	FADD	hsa-mir-1302-7	hsa-mir-634		DNAJA1	GDNF			MIR2681		hsa-mir-194-1	SUPT6H			hsa-mir-208b	hsa-mir-548f-4	
			NFKBIB	SHANK2	hsa-mir-151	hsa-mir-4315-2		NDUFB6	LIFR			MIR4705		hsa-mir-3122	TIAF1			hsa-mir-1201	hsa-mir-490	
			PSMD8	ANO1	hsa-mir-30d	hsa-mir-633		NFX1	PRKAA1					hsa-mir-4260	TRAF4			ANG	hsa-mir-29b-1	
			MRPS12	MIR548K	hsa-mir-1208	hsa-mir-21		TOPORS	PTGER4					hsa-mir-205	ERAL1			APEX1	hsa-mir-335	
