cytoband	8p23.3	12q24.33	8p11.22	1p35.3	16q24.2	2q37.3	2p25.3	19p13.3	22q12.3	9p21.3	20q13.13	1q21.3	1p35.1	7q36.3	6p25.1	3p14.2	4q34.3	10q26.3	11p15.4	18q23	10p15.3	11q25	6q25.3	3q22.3	1p36.32	19p13.12	15q11.2	15q21.3	22q13.33	2q22.1	
q value	1.5772e-48	3.631e-38	2.4837e-24	2.2803e-20	7.3836e-06	3.074e-05	3.6852e-05	6.2893e-05	0.00063036	0.000868	0.0015075	0.0016518	0.0076762	0.0076762	0.021962	0.030001	0.046045	0.067544	0.067544	0.067544	0.085663	0.085663	0.1004	0.11649	0.12338	0.12338	0.12816	0.16703	0.18151	0.21454	
residual q value	2.5109e-47	3.631e-38	1.3196e-22	2.2803e-20	7.3836e-06	3.074e-05	3.6852e-05	7.4619e-05	0.00063036	0.000868	0.0015075	0.0016518	0.0076762	0.0076762	0.021962	0.027114	0.046045	0.067544	0.067544	0.067544	0.085663	0.085663	0.088946	0.11649	0.12338	0.12338	0.16051	0.16819	0.18151	0.2117	
wide peak boundaries	chr8:1-399999	chr12:131620001-132199999	chr8:39260001-39429999	chr1:29540001-31189999	chr16:87960001-88499999	chr2:242820001-243199373	chr2:1-3389999	chr19:1-479999	chr22:34310001-35659999	chr9:22120001-26849999	chr20:46260001-47539999	chr1:152130001-153509999	chr1:33950001-35229999	chr7:157110001-159138663	chr6:5240001-6349999	chr3:59030001-61549999	chr4:178910001-183069999	chr10:129920001-135534747	chr11:4160001-4569999	chr18:76750001-78077248	chr10:1-1039999	chr11:124310001-135006516	chr6:160320001-161419999	chr3:136650001-137789999	chr1:3540001-6059999	chr19:15660001-16179999	chr15:1-38549999	chr15:52970001-54309999	chr22:47130001-51304566	chr2:1-243199373	
genes in wide peak	ZNF596	LOC116437	ADAM3A	PTPRU	BANP	LOC728323	ACP1	hsa-mir-1302-11	ISX	ELAVL2	SULF2	FLG	hsa-mir-552	hsa-mir-595	F13A1	FHIT	MGC45800	hsa-mir-202	TRIM21	NFATC1	ZMYND11	hsa-mir-3167	IGF2R	SOX14	DFFB	CYP4F3	hsa-mir-1233-2	ONECUT1	hsa-mir-3201	hsa-mir-3133	
	OR4F21						TPO	PPAP2C		DMRTA1	PREX1	IVL	GJB5	hsa-mir-153-2	FARS2		LINC00290	hsa-mir-378c	OR52M1	CTDP1	DIP2C	ACRV1	LPA	CLDN18	TP73	CYP4F2	hsa-mir-1233-1	WDR72	ACR	hsa-mir-149	
	RPL23AP53						TSSC1	SHC2		TUSC1	LINC00494	LOR	C1orf94	PTPRN2	NRN1			hsa-mir-4297	OR52K2	TXNL4A	LARP4B	APLP2	MAS1	IL20RB	CEP104	CYP4F8	hsa-mir-211		ARSA	hsa-mir-4269	
							PXDN	THEG		FLJ35282		SMCP	CSMD2	VIPR2				ADAM8	OR52B4	ADNP2	TUBB8	CHEK1	PLG		WRAP73	OR10H3	hsa-mir-1268		CHKB	hsa-mir-562	
							MYT1L	MIER2		LOC100506422		S100A6	GJB4	DNAJB6				BNIP3	OR52K1	KCNG2	C10orf108	ETS1	SLC22A1		AJAP1	OR10H2	hsa-mir-3118-6		CPT1B	hsa-mir-1471	
							SH3YL1	OR4F17				S100A7	HMGB4	NCAPG2				CYP2E1		RBFA		FLI1	SLC22A3		TP73-AS1	OR10H1	hsa-mir-3118-4		TYMP	hsa-mir-1244-1	
							SNTG2	C2CD4C				S100A8	LOC402779	WDR60				ECHS1		PQLC1		STT3A	SLC22A2		LRRC47	CYP4F11	ACTC1		MAPK11	hsa-mir-4268	
							TMEM18	ODF3L2				S100A9		ESYT2				INPP5A		PARD6G		KCNJ1	LPAL2		TPRG1L	CYP4F12	APBA2		MAPK12	hsa-mir-3132	
							FAM150B	WASH5P				S100A12		LOC154822				MGMT		ATP9B		KCNJ5	LOC729603		CCDC27	LOC126536	NBEAP1		SBF1	hsa-mir-153-1	
							LOC339822	FLJ45445				SPRR1A		MIR153-2				UTF1		HSBP1L1		NFRKB			NPHP4	OR10H4	CHRM5		PPP6R2	hsa-mir-3131	
							FAM110C	FAM138F				SPRR1B		MIR595				GLRX3		LOC100130522		NRGN			LOC284661	FLJ25328	CHRNA7		ZBED4	hsa-mir-26b	
							LOC730811	FAM138A				SPRR2A		LOC100506585				DPYSL4				OPCML			C1orf174	OR10H5	GABRA5		SCO2	hsa-mir-548f-2	
												SPRR2B						TUBGCP2				ST3GAL4			LOC388588	CYP4F24P	GABRB3		RABL2B	hsa-mir-1302-4	
												SPRR2C						DUX4				SRPR			LOC728716	UCA1	GABRG3		MLC1	hsa-mir-2355	
												SPRR2D						DUX2				ST14			LOC100133612		IPW		MAPK8IP2	hsa-mir-3130-4	
												SPRR2E						VENTX				BARX2			MIR4689		MEIS2		PLXNB2	hsa-mir-3129	
												SPRR2F						CALY				EI24			MIR4417		TRPM1		BRD1	hsa-mir-1245	
												SPRR2G						TTC40				FEZ1					NDN		TBC1D22A	hsa-mir-561	
												SPRR3						PPP2R2D				ARHGAP32					OCA2		FAM19A5	hsa-mir-1258	
												LCE2B						LRRC27				ADAMTS8					RYR3		NCAPH2	hsa-mir-3128	
												CRNN						GPR123				IGSF9B					SCG5		MOV10L1	hsa-mir-1246	
												CRCT1						NKX6-2				NCAPD3					SNRPN		MIOX	hsa-mir-10b	
												PGLYRP4						KNDC1				VSIG2					TJP1		PANX2	hsa-mir-933	
												LCE3D						MTG1				OR8B8					UBE3A		ALG12	hsa-mir-128-1	
												PGLYRP3						SYCE1				ACAD8					MKRN3		CRELD2	hsa-mir-663b	
												LELP1						PRAP1				B3GAT1					PAR5		ADM2	hsa-mir-1302-3	
												SPRR4						ZNF511				DCPS					HERC2		TRABD	hsa-mir-4267	
												LCE4A						CTAGE7P				ZBTB44					SNURF		SELO	hsa-mir-4266	
												LCE5A						C10orf91				THYN1					AQR		HDAC10	hsa-mir-4265	
												S100A7A						PWWP2B				DDX25					ARHGAP11A		SHANK3	hsa-mir-3127	
												LCE1A						PAOX				NTM					SLC12A6		TUBGCP6	hsa-mir-4264	
												LCE1B						EBF3				CDON					FAN1		LOC90834	hsa-mir-1285-2	
												LCE1C						TCERG1L				SPA17					GOLGA8A		LMF2	hsa-mir-3126	
												LCE1D						C10orf125				SIAE					CYFIP1		KLHDC7B	hsa-mir-216b	
												LCE1E						JAKMIP3				ROBO4					FAM189A1		LOC284933	hsa-mir-559	
												LCE1F						STK32C				FOXRED1					C15orf2		RPL23AP82	hsa-mir-558	
												LCE2A						LOC387723				PRDM10					DKFZP434L187		LOC339685	hsa-mir-4263	
												LCE2C						FLJ46300				PKNOX2					GREM1		C22orf34	hsa-mir-1301	
												LCE2D						LOC399829				TP53AIP1					TMEM85		CHKB-CPT1B	hsa-mir-3125	
												LCE3A						SPRNP1				ROBO3					KLF13		FLJ46257	hsa-mir-4262	
												LCE3B						FRG2B				FAM118B					MAGEL2		IL17REL	hsa-mir-548s	
												LCE3C						SPRN				C11orf61					MTMR10		FAM116B	hsa-mir-4261	
												LCE3E						MIR202				CCDC15					ZNF770		PIM3	AAMP	
												HRNR						LOC619207				PUS3					NOP10		ODF3B	ACADL	
												FLG2						DUX4L7				JAM3					NDNL2		SYCE3	ACP1	
												KPRP						DUX4L6				KIRREL3					C15orf24		LOC100128946	ACTG2	
												LCE6A						DUX4L5				RPUSD4					AVEN		LOC100144603	ACVR1	
												PRR9						DUX4L3				TBRG1					ATP10A		MIR3201	ACVR2A	
												S100A7L2						DUX4L2				GLB1L2					GJD2		MIR4535	ACYP2	
												C1orf68						MIR378C				ESAM					C15orf29			ADCY3	
																		MIR4297				VPS26B					NIPA2			ADD2	
																		MIR3944				GLB1L3					C15orf41			ADRA2B	
																						TIRAP					CHRFAM7A			AGXT	
																						PANX3					ULK4P3			ALK	
																						TMEM45B					ULK4P1			ALPI	
																						PATE1					ARHGAP11B			ALPP	
																						ADAMTS15					ATPBD4			ALPPL2	
																						C11orf45					SNORD107			BIN1	
																						HYLS1					TUBGCP5			ANXA4	
																						TMEM218					NIPA1			AOX1	
																						SLC37A2					PAR1			APOB	
																						OR8B12					LOC145845			RHOB	
																						SPATA19					TMCO5A			RND3	
																						HEPACAM					CSNK1A1P1			ATIC	
																						KIRREL3-AS3					OTUD7A			ATP5G3	
																						LOC283174					PGBD4			ATP6V1B1	
																						LOC283177					LPCAT4			KIF1A	
																						OR8A1					C15orf55			AUP1	
																						PATE2					LOC283683			BARD1	
																						PATE4					OR4N4			BCS1L	
																						FLJ39051					LOC283710			BMPR2	
																						SNX19					HERC2P3			BOK	
																						LINC00167					GOLGA6L1			ZFP36L2	
																						HEPN1					GOLGA8G			BUB1	
																						LOC100128239					GOLGA8IP			CACNB4	
																						PATE3					SNORD108			CAD	
																						MIR3167					SNORD109A			CALM2	
																						LOC100507392					SNORD109B			CAPG	
																						MIR4697					SNORD115-1			CASP8	
																											WHAMMP3			CASP10	
																											POTEB			CCNT2	
																											FMN1			CD8A	
																											SNORD64			CD8B	
																											PAR4			CD28	
																											PAR-SN			CENPA	
																											LOC348120			CHN1	
																											GOLGA8E			CHRNA1	
																											OR4M2			CHRND	
																											OR4N3P			CHRNG	
																											HERC2P2			CLK1	
																											MIR211			CNGA3	
																											NF1P2			COL3A1	
																											HERC2P9			COL4A3	
																											WHAMMP2			COL4A4	
																											GOLGA8B			COL5A2	
																											LOC503519			COL6A3	
																											CHEK2P2			COX5B	
																											LOC646214			CPS1	
																											CXADRP2			CREB1	
																											LOC646278			ATF2	
																											REREP3			CRYBA2	
																											LOC653061			CRYGA	
																											LOC653075			CRYGB	
																											ANP32AP1			CRYGC	
																											SNORD116-19			CRYGD	
																											GOLGA6L6			CTLA4	
																											LOC727924			CTNNA2	
																											GOLGA8C			CYP1B1	
																											PWRN1			CYP27A1	
																											PWRN2			DARS	
																											SNORD116-1			DBI	
																											SNORD116-2			DCTN1	
																											SNORD116-3			DDX1	
																											SNORD116-4			DES	
																											SNORD116-5			DGUOK	
																											SNORD116-6			LOC1720	
																											SNORD116-7			DLX1	
																											SNORD116-8			DLX2	
																											SNORD116-9			DNAH6	
																											SNORD116-10			DYNC1I2	
																											SNORD116-11			DNMT3A	
																											SNORD116-12			DOK1	
																											SNORD116-13			DPP4	
																											SNORD116-14			DTNB	
																											SNORD116-15			DTYMK	
																											SNORD116-16			DUSP2	
																											SNORD116-17			E2F6	
																											SNORD116-18			EEF1B2	
																											SNORD116-20			EGR4	
																											SNORD116-21			EMX1	
																											SNORD116-22			EN1	
																											SNORD116-23			EPAS1	
																											SNORD116-24			EPHA4	
																											SNORD116-25			ERBB4	
																											SNORD115-2			ERCC3	
																											SNORD116-26			FABP1	
																											SNORD116-27			ACSL3	
																											SNORD115-3			FAP	
																											SNORD115-4			EFEMP1	
																											SNORD115-5			FHL2	
																											SNORD115-6			FKBP1B	
																											SNORD115-7			FN1	
																											SNORD115-8			FOSL2	
																											SNORD115-9			FRZB	
																											SNORD115-10			FSHR	
																											SNORD115-11			FTH1P3	
																											SNORD115-12			GAD1	
																											SNORD115-13			GALNT3	
																											SNORD115-14			GBX2	
																											SNORD115-15			GCG	
																											SNORD115-16			GCKR	
																											SNORD115-17			MSTN	
																											SNORD115-18			GFPT1	
																											SNORD115-19			GGCX	
																											SNORD115-20			GLI2	
																											SNORD115-21			GLS	
																											SNORD115-22			GPC1	
																											SNORD115-23			GPD2	
																											SNORD115-25			GPR1	
																											SNORD115-26			GPR17	
																											SNORD115-29			GPR35	
																											SNORD115-30			GPR39	
																											SNORD115-31			GRB14	
																											SNORD115-32			MSH6	
																											SNORD115-33			GTF3C2	
																											SNORD115-34			GYPC	
																											SNORD115-35			HADHA	
																											SNORD115-36			HADHB	
																											SNORD115-37			HDLBP	
																											SNORD115-38			HK2	
																											SNORD115-39			HNMT	
																											SNORD115-40			TLX2	
																											SNORD115-41			HOXD1	
																											SNORD115-42			HOXD3	
																											SNORD115-43			HOXD4	
																											SNORD115-44			HOXD8	
																											SNORD116-28			HOXD9	
																											SNORD116-29			HOXD10	
																											SNORD115-48			HOXD11	
																											SNORD115-24			HOXD12	
																											SNORD115-27			HOXD13	
																											SNORD115-28			HPCAL1	
																											SNORD115-45			AGFG1	
																											SNORD115-47			DNAJB2	
																											LOC100128714			HSPD1	
																											HERC2P7			HSPE1	
																											GOLGA8F			FOXN2	
																											GOLGA8DP			HTR2B	
																											ULK4P2			ID2	
																											LOC100288615			IDH1	
																											LOC100288637			SP110	
																											LOC100289656			IGFBP2	
																											MIR1233-1			IGFBP5	
																											MIR1233-2			IHH	
																											MIR3942			IL1A	
																											LOC100507466			IL1B	
																											MIR4509-1			IL1R1	
																											MIR4509-2			IL1RN	
																											MIR4508			CXCR1	
																											MIR4510			CXCR2	
																											MIR4509-3			CXCR2P1	
																											MIR4715			INHA	
																											TMCO5B			INHBB	
																														INPP1	
																														INPP4A	
																														INPP5D	
																														ITGA6	
																														IRS1	
																														ITGA4	
																														ITGAV	
																														ITGB6	
																														KCNF1	
																														KCNJ3	
																														KCNJ13	
																														KCNK3	
																														KCNS3	
																														KHK	
																														KIF3C	
																														KIF5C	
																														AFF3	
																														LCT	
																														LHCGR	
