cytoband	1q21.3	14q13.2	5p15.2	7p21.1	8q24.21	14q12	1q42.3	8q24.3	11q14.1	17q23.3	15q26.1	1q24.2	3q28	17q25.3	1q22	4p14	11p13	8q11.21	5p13.2	19q13.12	4q12	22q11.21	10q22.1	14q24.1	17q12	3q22.3	20q13.13	6q12	17q11.1	6p24.2	14q21.3	1q24.3	2q24.2	12p13.33	10p11.22	7p11.2	7q32.3	17q21.31	7p21.3	11q13.2	20q13.2	22q12.2	15q25.3	8p22	20q11.21	1q32.2	8q22.1	1q23.3	3q25.1	8q22.2	8q21.11	10q21.3	
q value	3.2164e-09	3.2164e-09	5.6317e-06	8.3706e-05	1.3367e-05	4.1113e-07	0.00053303	0.00024105	0.00097683	0.0034245	0.0099389	0.00055549	0.0085277	0.0071345	5.0101e-05	0.0099389	0.014223	0.018189	0.0010081	0.027574	0.016681	0.030934	0.025205	0.020024	0.016382	0.018189	0.017588	0.040335	0.04923	0.064997	0.011487	0.0057994	0.0856	0.088061	0.10396	0.10472	0.10767	0.045977	0.084546	0.014931	0.051637	0.139	0.14269	0.15922	0.1666	0.035791	0.081198	0.0015253	0.069835	0.034641	0.15922	0.15922	
residual q value	9.1883e-08	6.451e-06	8.3249e-05	0.00011978	0.00049849	0.0022562	0.0027519	0.0071345	0.0071951	0.0080232	0.0099389	0.01555	0.015696	0.016681	0.017446	0.017446	0.01811	0.018189	0.020024	0.027574	0.030009	0.030934	0.032881	0.035791	0.037052	0.040335	0.040335	0.044132	0.04923	0.07184	0.081198	0.0856	0.0856	0.088061	0.10396	0.10472	0.10767	0.11126	0.1253	0.1253	0.13414	0.139	0.14269	0.15922	0.1666	0.16743	0.16883	0.17668	0.18919	0.20362	0.21527	0.22198	
wide peak boundaries	chr1:150430001-151609999	chr14:34880001-36409999	chr5:13980001-14509999	chr7:16630001-17709999	chr8:128780001-128909999	chr14:31330001-32059999	chr1:234680001-235159999	chr8:141380001-142309999	chr11:76880001-78809999	chr17:60490001-61509999	chr15:93330001-93559999	chr1:168740001-169109999	chr3:187430001-188709999	chr17:79180001-81195210	chr1:153430001-156759999	chr4:38080001-40809999	chr11:34230001-35309999	chr8:48140001-48809999	chr5:36830001-37759999	chr19:35930001-36259999	chr4:49040001-66659999	chr22:19680001-21409999	chr10:73830001-76509999	chr14:68530001-69309999	chr17:37180001-37909999	chr3:137830001-138759999	chr20:48830001-49209999	chr6:63980001-64559999	chr17:22140001-27859999	chr6:11180001-11459999	chr14:50130001-51209999	chr1:171630001-173209999	chr2:156580001-172859999	chr12:1-1909999	chr10:26840001-35759999	chr7:54980001-55259999	chr7:130530001-131159999	chr17:44130001-45259999	chr7:7180001-8309999	chr11:66330001-68359999	chr20:52130001-52909999	chr22:30480001-30759999	chr15:85130001-86359999	chr8:17630001-17809999	chr20:30030001-36809999	chr1:206980001-207559999	chr8:95180001-96309999	chr1:159690001-162909999	chr3:151630001-152209999	chr8:99430001-104109999	chr8:74180001-74909999	chr10:64880001-65409999	
genes in wide peak	hsa-mir-554	CFL2	TRIO	AHR	hsa-mir-1204	hsa-mir-624	IRF2BP2	hsa-mir-151	CLNS1A	hsa-mir-633	hsa-mir-3175	ATP1B1	hsa-mir-28	hsa-mir-3186	hsa-mir-9-1	hsa-mir-574	CAT	CEBPD	NUP155	ATP4A	EPHA5	hsa-mir-649	ADK	ZFP36L1	CACNB1	FOXL2	hsa-mir-645	PTP4A1	hsa-mir-144	NEDD9	ARF6	hsa-mir-199a-2	ACVR1	NINJ2	hsa-mir-938	EGFR	hsa-mir-29b-1	CDC27	ICA1	hsa-mir-3163	CYP24A1	LIF	hsa-mir-1276	FGL1	hsa-mir-1289-1	C4BPA	hsa-mir-3150	hsa-mir-556	MBNL1	hsa-mir-1273	RPL7	hsa-mir-1296	
	hsa-mir-4257	NFKBIA		AGR2	PVT1	COCH	LINC00184	PTK2	MYO7A	CYB561	CHD2	NME7	BCL6	ACTG1	hsa-mir-555	RHOH	CD44	PRKDC	NIPBL	COX6B1	IGFBP7	hsa-mir-1286	ANXA7	RAD51B	ERBB2	PIK3CB	PTPN1	PHF3	ALDOC		POLE2	FASLG	DYNC1I2	RAD52	hsa-mir-604		MKLN1	NSF	RPA3	ACTN3	PFDN4	OSM	NMB	PCM1	hsa-mir-499	C4BPB	CDH17	hsa-mir-4259	LOC401093	hsa-mir-875	TCEB1	NRBF2	
	ARNT	PSMA6		TSPAN13	MIR1204	GPR33	LOC100506810	DENND3	NDUFC2	MRC2	ASB9P1	MGC4473	LPP	ARHGDIA	hsa-mir-92b	UBE2K	ELF5	KIAA0146	WDR70	ETV2	KDR	hsa-mir-1306	CAMK2G		GRB7	MRAS	FAM65C	LGSN	CRYBA1		SOS2	PIGC	DPP4	KDM5A	MAP3K8		FLJ43663	WNT3	MIOS	ADRBK1	ZNF217	SF3A1	PDE8A	MTUS1	hsa-mir-644	CD55	GEM	APOA2	TMEM14E	ATP6V1C1	LY96	LOC84989	
	CTSK	SRP54		BZW2		AP4S1		EIF2C2	PAK1	TLK2	MIR3175		LPP-AS2	CD7	hsa-mir-4258	RFC1	SLC1A2		C5orf42	FFAR2	KIT	hsa-mir-185	P4HA1		NEUROD2	ARMC8	LOC284751	EYS	FLOT2		CDKL1	TNFSF4	FAP	SLC6A12	CREM		MIR29A	WNT9B	C1GALT1	ALDH3B1	BCAS1	TBC1D10A	SLC28A1		hsa-mir-1825	PFKFB2	CCNE2	ATP1A2		COX6C	STAU2	REEP3	
	CTSS	KIAA0391		ANKMY2		HECTD1		CHRAC1	THRSP	TANC2	LOC100507217		FLJ42393	CSNK1D	hsa-mir-190b	RPL9	PDHX		LOC646719	MLL4	PDGFRA	ARVCF	PLAU		PNMT	A4GNT	MIR645		LGALS9		NEMF	VAMP4	GAD1	SLC6A13	ITGB1		MIR29B1	GOSR2	GLCCI1	ALDH3B2	SUMO1P1	HORMAD2	ZNF592		hsa-mir-3193	PIGR	RAD54B	ATP1A4		KCNS2	TMEM70	JMJD1C	
	ECM1	BAZ1A		AGR3		HEATR5A		SLC45A4	GAB2	EFCAB3			LOC100131635	SLC25A10	ADAR	TLR1	ABTB2			TMEM147	POLR2B	COMT	PPP3CB		MED1	DBR1			NOS2		MAP4K5	TNFSF18	GALNT3	ERC1	KIF5B		LOC646329	LRRC37A	COL28A1	CHKA	MIR4756	CCDC157	AKAP13		AHCY	FAIM3	KIAA1429	CASQ1		ODF1	UBE2W	MIR1296	
	ENSA	PPP2R3C				STRN3		TRAPPC9	ODZ4	MARCH10				FASN	BGLAP	UGDH	EHF			UPK1A	PPAT	CRKL	VCL		RPL19	FAIM			RPL23A		KLHDC2	DNM3	GCG	WNK1	SVIL			ARL17A	LOC729852	GSTP1		GATSL3	SEC11A		ASIP	IL24	ESRP1	CD48		POLR2K	RDH10		
